3,2,2,3,2,2,3,3,2,2,5/8,5/8,2,0/6
3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2
3,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,2,0/6
3,3,3,3,3,2,2,3,2,2,3,2,2,3,2,2,2,0/6
3,3,2,4/6,4/6,2,2,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,2,3,2,2
3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,3,2,4/6,3,3,2,4/6,3,3,2,3,2,2,3
0/8,0/8,0/8,2,4/6,2,4/6,2,4/6,0/8,0/8,0/8,2,4/6,2,4/6,2,4/6
0/8,0/8,0/8,0/8,0/8,3,2,2,3,,3,3,3,2,2,3,3,3,3,2,2,2,3,2,2,5/8
3,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,
3,2,3,3,3,2,4/6,2,2,4/6,2,2,4/6,2,4/6,2,2,1,2,1,2,3/8,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,3/8,1,2,1,2,2,2,2,4/6,1,0/7,0/8,1,0/7
2,3,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,3/8,3/8,1,2,2,1,2,1,2,2,1,2,1,2,2,1,2,1,2,2,1,2,1,0/7,0/8,1,0/7
3,3,2,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,4/6,2,2,2,2,3,2,2,2,3,2,2,3,2,2,3,2,2,5/8,3,2,2,3,2,2,2,3/8,1,0/7,0/8,1,0/7
